fgbg,fg,bg
3BFC610C,3BFC,610C
2A16DE17,2A16,DE17
A1220BEB,A122,0BEB
3BFC56F3,3BFC,56F3
3BFCB447,3BFC,B447
DE17B4AB,DE17,B4AB
3BFCCBF8,3BFC,CBF8
3A54E121,3A54,E121
DE1786E8,DE17,86E8
3BFC01E3,3BFC,01E3
CD09E121,CD09,E121
DE17E4D6,DE17,E4D6
3BFC56B9,3BFC,56B9
2866E121,2866,E121
DE17F251,DE17,F251
DE178ACF,DE17,8ACF
DE177952,DE17,7952
767B2472,767B,2472
B682DF28,B682,DF28
9717DF28,9717,DF28
AB9CDF28,AB9C,DF28
B13E46E9,B13E,46E9
B4F0DF28,B4F0,DF28
CE7946E9,CE79,46E9
7A13DF28,7A13,DF28
3A5446E9,3A54,46E9
1100DF28,1100,DF28
850D46E9,850D,46E9
8DE0DF28,8DE0,DF28
D89046E9,D890,46E9
BC95DF28,BC95,DF28
15A846E9,15A8,46E9
2503DF28,2503,DF28
266046E9,2660,46E9
28BE44B5,28BE,44B5
016744B5,0167,44B5
021944B5,0219,44B5
446C44B5,446C,44B5
44B53DFC,44B5,3DFC
44B5AF4B,44B5,AF4B
44B529A8,44B5,29A8
44B51873,44B5,1873
44B54C60,44B5,4C60
44B52B93,44B5,2B93
44B530C1,44B5,30C1
44B5DBAA,44B5,DBAA
44B50724,44B5,0724
36F13DFC,36F1,3DFC
3DFC0995,3DFC,0995
AAB6AF4B,AAB6,AF4B
F6D6AF4B,F6D6,AF4B
AF4BBC30,AF4B,BC30
AF4BD418,AF4B,D418
987029A8,9870,29A8
0F5229A8,0F52,29A8
29A85EDF,29A8,5EDF
A90C1873,A90C,1873
E3E41873,E3E4,1873
68EB1873,68EB,1873
18731971,1873,1971
18735F4A,1873,5F4A
49A54C60,49A5,4C60
4A2F4C60,4A2F,4C60
4C6070AF,4C60,70AF
119A2B93,119A,2B93
0A622B93,0A62,2B93
2B939417,2B93,9417
2B9365D8,2B93,65D8
B21D30C1,B21D,30C1
300030C1,3000,30C1
30C1A239,30C1,A239
1277DBAA,1277,DBAA
7D8ADBAA,7D8A,DBAA
DBAA14E7,DBAA,14E7
295D0724,295D,0724
85A90724,85A9,0724
07241D2C,0724,1D2C
0724A341,0724,A341
0724CB45,0724,CB45
7BC0C9B5,7BC0,C9B5
5FDEC9B5,5FDE,C9B5
C9B57AFC,C9B5,7AFC
C9B51CE8,C9B5,1CE8
A0C27AFC,A0C2,7AFC
516A7AFC,516A,7AFC
9B8C7AFC,9B8C,7AFC
4BBF7AFC,4BBF,7AFC
3A5C7AFC,3A5C,7AFC
88407AFC,8840,7AFC
DEFB7AFC,DEFB,7AFC
80B27AFC,80B2,7AFC
D1AD7AFC,D1AD,7AFC
B45D7AFC,B45D,7AFC
7AFC878F,7AFC,878F
A0C21CE8,A0C2,1CE8
FB6D3C47,FB6D,3C47
18701CE8,1870,1CE8
9EFA3C47,9EFA,3C47
11BFA2F9,11BF,A2F9
36A5A2F9,36A5,A2F9
1583A2F9,1583,A2F9
DA9CA2F9,DA9C,A2F9
038FA2F9,038F,A2F9
A0C27AA9,A0C2,7AA9
3D317AA9,3D31,7AA9
74637AA9,7463,7AA9
AD807AA9,AD80,7AA9
34877AA9,3487,7AA9
DA9C7AA9,DA9C,7AA9
DCCD7AA9,DCCD,7AA9
38E17AA9,38E1,7AA9
62B67AA9,62B6,7AA9
F3D97AA9,F3D9,7AA9
7AA9A0C2,7AA9,A0C2
7AA95FDE,7AA9,5FDE
7AA97404,7AA9,7404
7AA93487,7AA9,3487
7AA9DF43,7AA9,DF43
7AA95823,7AA9,5823
11BFA0C2,11BF,A0C2
4D89A0C2,4D89,A0C2
A0C24D89,A0C2,4D89
C6DC5FDE,C6DC,5FDE
5FDEE96B,5FDE,E96B
B84E7404,B84E,7404
7404E304,7404,E304
3CC53487,3CC5,3487
47543487,4754,3487
876EDF43,876E,DF43
DF437AA9,DF43,7AA9
DF43FD32,DF43,FD32
03555823,0355,5823
03C7AB06,03C7,AB06
E9F4AB06,E9F4,AB06
AB0635E7,AB06,35E7
80250C30,8025,0C30
AB065554,AB06,5554
16410C30,1641,0C30
AB066B0F,AB06,6B0F
AB064AE6,AB06,4AE6
AB06D10F,AB06,D10F
AB06BC41,AB06,BC41
AB061A0F,AB06,1A0F
8B5A35E7,8B5A,35E7
35E74369,35E7,4369
3E065554,3E06,5554
705B5554,705B,5554
55543FE5,5554,3FE5
14556B0F,1455,6B0F
6B0F7AB4,6B0F,7AB4
6B0F2C6E,6B0F,2C6E
F2BE4AE6,F2BE,4AE6
DD9B4AE6,DD9B,4AE6
4AE6232B,4AE6,232B
7313D10F,7313,D10F
D10FEBA7,D10F,EBA7
115CBC41,115C,BC41
1831BC41,1831,BC41
8427BC41,8427,BC41
BC417F97,BC41,7F97
B41D1A0F,B41D,1A0F
1A0F558B,1A0F,558B
65D195A4,65D1,95A4
95A456DC,95A4,56DC
95A4AAE9,95A4,AAE9
95A4E6FB,95A4,E6FB
AAE956DC,AAE9,56DC
500356DC,5003,56DC
D78BE6FB,D78B,E6FB
4A3BB654,4A3B,B654
01438F73,0143,8F73
8F73564A,8F73,564A
8F73DF96,8F73,DF96
8F73E35E,8F73,E35E
8F73388C,8F73,388C
8F73748C,8F73,748C
8F73F2BD,8F73,F2BD
8F735857,8F73,5857
8F73DAE9,8F73,DAE9
6CF1564A,6CF1,564A
781DDF96,781D,DF96
9922E35E,9922,E35E
392A388C,392A,388C
388C2063,388C,2063
388C19B3,388C,19B3
748C43D0,748C,43D0
A3DFF2BD,A3DF,F2BD
5A73F2BD,5A73,F2BD
D8FA5857,D8FA,5857
58577AE7,5857,7AE7
56DDDAE9,56DD,DAE9
37ECDAE9,37EC,DAE9
425CDAE9,425C,DAE9
9B4CDAE9,9B4C,DAE9
C66FDAE9,C66F,DAE9
29D87AB4,29D8,7AB4
E0E57AB4,E0E5,7AB4
6C5F7AB4,6C5F,7AB4
C514E9F4,C514,E9F4
E9F45CED,E9F4,5CED
29D82C6E,29D8,2C6E
F4C35CED,F4C3,5CED
5CEDAB2F,5CED,AB2F
F9FCEBA7,F9FC,EBA7
BD8F3FE5,BD8F,3FE5
E6AB232B,E6AB,232B
0B843FE5,0B84,3FE5
232BF043,232B,F043
90383FE5,9038,3FE5
B4C43FE5,B4C4,3FE5
76DD7F97,76DD,7F97
D1807F97,D180,7F97
69FC4369,69FC,4369
57D37F97,57D3,7F97
4369701A,4369,701A
2166558B,2166,558B
96A5558B,96A5,558B
558BFC2C,558B,FC2C
768B8B5A,768B,8B5A
40BA8B5A,40BA,8B5A
8B5A22AC,8B5A,22AC
8B5A9A89,8B5A,9A89
CC95701A,CC95,701A
8B5A1FA7,8B5A,1FA7
8B5A0102,8B5A,0102
6939701A,6939,701A
8B5A5D54,8B5A,5D54
2D31701A,2D31,701A
8B5A7FCB,8B5A,7FCB
8B5A8E19,8B5A,8E19
47F2705B,47F2,705B
3325705B,3325,705B
A2BB1455,A2BB,1455
348B705B,348B,705B
B7C31455,B7C3,1455
705B77AD,705B,77AD
94B722AC,94B7,22AC
1455C724,1455,C724
705B26D1,705B,26D1
123022AC,1230,22AC
145515C8,1455,15C8
705B600E,705B,600E
1455D0E9,1455,D0E9
705BEE0A,705B,EE0A
22AC35F7,22AC,35F7
705B70C6,705B,70C6
2ABB9A89,2ABB,9A89
705B0A10,705B,0A10
705BBFAD,705B,BFAD
C3AC9A89,C3AC,9A89
705B038C,705B,038C
9A89BD93,9A89,BD93
705BDB34,705B,DB34
FE7DC724,FE7D,C724
C72E1FA7,C72E,1FA7
4B2E1FA7,4B2E,1FA7
5EE6C724,5EE6,C724
C72407B8,C724,07B8
1FA74CF6,1FA7,4CF6
56E215C8,56E2,15C8
C72E0102,C72E,0102
E06577AD,E065,77AD
9E380102,9E38,0102
318315C8,3183,15C8
15C893E7,15C8,93E7
45BA77AD,45BA,77AD
77AD8D45,77AD,8D45
70785D54,7078,5D54
3BCDD0E9,3BCD,D0E9
487726D1,4877,26D1
CB075D54,CB07,5D54
44B5D0E9,44B5,D0E9
D0E99A0A,D0E9,9A0A
761126D1,7611,26D1
833C7FCB,833C,7FCB
26D1219F,26D1,219F
96C97FCB,96C9,7FCB
0E87600E,0E87,600E
D9F1DD9B,D9F1,DD9B
89CADD9B,89CA,DD9B
6EFA8E19,6EFA,8E19
73CB600E,73CB,600E
20BADD9B,20BA,DD9B
600EF6C8,600E,F6C8
DD9B2FC5,DD9B,2FC5
F9668E19,F966,8E19
600E33CA,600E,33CA
8E1917F8,8E19,17F8
600E15C2,600E,15C2
DD9B5B16,DD9B,5B16
DD9BBDE2,DD9B,BDE2
161FEE0A,161F,EE0A
DD9BFCDD,DD9B,FCDD
B2CFEE0A,B2CF,EE0A
DD9B7524,DD9B,7524
EE0A1CB2,EE0A,1CB2
20BA2FC5,20BA,2FC5
4B5370C6,4B53,70C6
ADE4F043,ADE4,F043
D7762FC5,D776,2FC5
C0F670C6,C0F6,70C6
2FC5C8F0,2FC5,C8F0
43AD7313,43AD,7313
1D2070C6,1D20,70C6
E06B7313,E06B,7313
73134E0F,7313,4E0F
D1FF0A10,D1FF,0A10
B6EB0A10,B6EB,0A10
B9A14E0F,B9A1,4E0F
68FD5B16,68FD,5B16
47F2BFAD,47F2,BFAD
C07A5B16,C07A,5B16
992DBFAD,992D,BFAD
20BA5B16,20BA,5B16
6EECBFAD,6EEC,BFAD
F44C1831,F44C,1831
5B16BD69,5B16,BD69
F3C81831,F3C8,1831
8BF9BFAD,8BF9,BFAD
5B16A003,5B16,A003
765A038C,765A,038C
