fgbg,fg,bg
71CABE39,71CA,BE39
71CAF9BC,71CA,F9BC
71CAC349,71CA,C349
71CA695D,71CA,695D
6986D96B,6986,D96B
194DD96B,194D,D96B
D96B46BF,D96B,46BF
0850D0A6,0850,D0A6
7C342165,7C34,2165
216500F0,2165,00F0
BC2B4D44,BC2B,4D44
1A4F4D44,1A4F,4D44
4D44CF5D,4D44,CF5D
937ABE39,937A,BE39
25F5BE39,25F5,BE39
BE39A385,BE39,A385
7837F9BC,7837,F9BC
F8E1F9BC,F8E1,F9BC
92C2F9BC,92C2,F9BC
F9BCF1D9,F9BC,F1D9
9D58C349,9D58,C349
B6A4C349,B6A4,C349
7AE8C349,7AE8,C349
C3499574,C349,9574
23FB695D,23FB,695D
8566695D,8566,695D
FA8C695D,FA8C,695D
695DB6A4,695D,B6A4
695DAAD3,695D,AAD3
DD39D826,DD39,D826
F637315A,F637,315A
C306D826,C306,D826
D826F9A7,D826,F9A7
BF32315A,BF32,315A
D8267C90,D826,7C90
D8268B85,D826,8B85
D8263880,D826,3880
FAB88EAD,FAB8,8EAD
D82663A0,D826,63A0
E9098EAD,E909,8EAD
D8267F05,D826,7F05
39398EAD,3939,8EAD
D826C295,D826,C295
D826E0EB,D826,E0EB
456DF9A7,456D,F9A7
F9A71EB4,F9A7,1EB4
7AE57C90,7AE5,7C90
93358B85,9335,8B85
9FCD8B85,9FCD,8B85
8B85DD36,8B85,DD36
8B851252,8B85,1252
FEAE3880,FEAE,3880
A6F93880,A6F9,3880
3880D240,3880,D240
995B63A0,995B,63A0
7F5563A0,7F55,63A0
63A0D37C,63A0,D37C
63A0AC99,63A0,AC99
BCFE7F05,BCFE,7F05
989B7F05,989B,7F05
7F057E24,7F05,7E24
4D21C295,4D21,C295
73CBC295,73CB,C295
C29560D5,C295,60D5
C295BEE1,C295,BEE1
C295FE88,C295,FE88
2A20E0EB,2A20,E0EB
D45AE0EB,D45A,E0EB
E0EB8520,E0EB,8520
E0EBF7D0,E0EB,F7D0
E0EB10CB,E0EB,10CB
E0EBC962,E0EB,C962
E0EB5E73,E0EB,5E73
E0EBC7AD,E0EB,C7AD
E0EBD6C4,E0EB,D6C4
E0EB2C14,E0EB,2C14
E0EBE7AB,E0EB,E7AB
E0EBD37C,E0EB,D37C
9517AB34,9517,AB34
B649AB34,B649,AB34
C3FBAB34,C3FB,AB34
AB34535B,AB34,535B
7E2E008D,7E2E,008D
3C14008D,3C14,008D
B1A4008D,B1A4,008D
008D0062,008D,0062
008D506B,008D,506B
008D20A3,008D,20A3
008DFEE0,008D,FEE0
008D4B2B,008D,4B2B
008D8BB0,008D,8BB0
008DDB76,008D,DB76
008DA000,008D,A000
32630062,3263,0062
0062DFDD,0062,DFDD
AB22506B,AB22,506B
506BD2AC,506B,D2AC
506B3B27,506B,3B27
434D20A3,434D,20A3
E0CB20A3,E0CB,20A3
AE8C20A3,AE8C,20A3
03F620A3,03F6,20A3
B70B20A3,B70B,20A3
20A34564,20A3,4564
20A35273,20A3,5273
40E2FEE0,40E2,FEE0
FEE009A0,FEE0,09A0
FEE0E65D,FEE0,E65D
4B6C8BB0,4B6C,8BB0
EB358BB0,EB35,8BB0
7316DB76,7316,DB76
C246DB76,C246,DB76
DB761095,DB76,1095
DB769FE4,DB76,9FE4
DB764B9E,DB76,4B9E
DB767385,DB76,7385
D407A000,D407,A000
3AB9A000,3AB9,A000
2F335795,2F33,5795
019C5795,019C,5795
5C175795,5C17,5795
57952609,5795,2609
D3671BFD,D367,1BFD
725C2609,725C,2609
02D31BFD,02D3,1BFD
019C2609,019C,2609
FD862609,FD86,2609
404C4C08,404C,4C08
404CC4C4,404C,C4C4
404CE934,404C,E934
404C6E26,404C,6E26
4C08C823,4C08,C823
0EDEC4C4,0EDE,C4C4
C4C46E9E,C4C4,6E9E
3C38E934,3C38,E934
E934186E,E934,186E
E93401B9,E934,01B9
E9346E58,E934,6E58
E9346D17,E934,6D17
04BF6E26,04BF,6E26
6E26E238,6E26,E238
6E26226D,6E26,226D
6E263995,6E26,3995
6E260D61,6E26,0D61
6E26C428,6E26,C428
6E26335A,6E26,335A
AB2D8AA5,AB2D,8AA5
8AA585DA,8AA5,85DA
2AAB85DA,2AAB,85DA
C26B85DA,C26B,85DA
CD8785DA,CD87,85DA
DB1985DA,DB19,85DA
7F65AF66,7F65,AF66
B75B85DA,B75B,85DA
6E3C85DA,6E3C,85DA
5F5685DA,5F56,85DA
56B085DA,56B0,85DA
4AEE85DA,4AEE,85DA
77B1AF66,77B1,AF66
C07BAF66,C07B,AF66
A7A4AF66,A7A4,AF66
DE87AF66,DE87,AF66
A0FA8A38,A0FA,8A38
B6918A38,B691,8A38
8A387EDE,8A38,7EDE
8A389CC8,8A38,9CC8
8A38A6B5,8A38,A6B5
FAB884C4,FAB8,84C4
60307EDE,6030,7EDE
A5D57EDE,A5D5,7EDE
84C44A39,84C4,4A39
84C4AAC2,84C4,AAC2
07149CC8,0714,9CC8
84C4628B,84C4,628B
70C49CC8,70C4,9CC8
84C426EF,84C4,26EF
DA1B9CC8,DA1B,9CC8
F8C8A6B5,F8C8,A6B5
65F9A6B5,65F9,A6B5
AC56A6B5,AC56,A6B5
194D4A39,194D,4A39
4A3922EC,4A39,22EC
6807A6B5,6807,A6B5
CBA7A6B5,CBA7,A6B5
0CF2A6B5,0CF2,A6B5
61DAAAC2,61DA,AAC2
A6B58E80,A6B5,8E80
AAC2D32B,AAC2,D32B
A6B5F02C,A6B5,F02C
AAC22BBE,AAC2,2BBE
A6B5DCE4,A6B5,DCE4
7266628B,7266,628B
628BD48E,628B,D48E
A6B5AA2B,A6B5,AA2B
628BE532,628B,E532
A6B55F9E,A6B5,5F9E
628B66B1,628B,66B1
A6B5D4E3,A6B5,D4E3
A6B5FE88,A6B5,FE88
A6B50DEA,A6B5,0DEA
F2E826EF,F2E8,26EF
26EFB2D3,26EF,B2D3
83540851,8354,0851
C3730851,C373,0851
1434C3A3,1434,C3A3
C3A3864F,C3A3,864F
56BB864F,56BB,864F
AC8E864F,AC8E,864F
3156864F,3156,864F
5A736799,5A73,6799
1DCB6799,1DCB,6799
A59D6799,A59D,6799
FDBD6799,FDBD,6799
67997CBB,6799,7CBB
F337B659,F337,B659
6799746B,6799,746B
67996362,6799,6362
6799E5F6,6799,E5F6
67993FE1,6799,3FE1
01A075FD,01A0,75FD
6799F0CB,6799,F0CB
0E4775FD,0E47,75FD
679923C3,6799,23C3
9B3275FD,9B32,75FD
67993BE0,6799,3BE0
6799F1A6,6799,F1A6
2B3075FD,2B30,75FD
56A7E909,56A7,E909
3BC454E2,3BC4,54E2
DDC6E909,DDC6,E909
B66954E2,B669,54E2
E909DA58,E909,DA58
31C054E2,31C0,54E2
E909830A,E909,830A
E90930DB,E909,30DB
54E20E81,54E2,0E81
E9090C3B,E909,0C3B
3BC40E81,3BC4,0E81
B6690E81,B669,0E81
E909460B,E909,460B
31C00E81,31C0,0E81
E90988FD,E909,88FD
2EB20E81,2EB2,0E81
3A54DA58,3A54,DA58
460BDA58,460B,DA58
75F2C3FB,75F2,C3FB
6030C3FB,6030,C3FB
7006B765,7006,B765
DA587BD5,DA58,7BD5
B7654257,B765,4257
DA584B83,DA58,4B83
C3FBD1F0,C3FB,D1F0
B7652A33,B765,2A33
C8004257,C800,4257
29B330DB,29B3,30DB
4257B68D,4257,B68D
87C030DB,87C0,30DB
381CD1F0,381C,D1F0
26252A33,2625,2A33
15630C3B,1563,0C3B
EE43D1F0,EE43,D1F0
E0C92A33,E0C9,2A33
6A052A33,6A05,2A33
C264460B,C264,460B
460BD86A,460B,D86A
FAB888FD,FAB8,88FD
A48C88FD,A48C,88FD
B08388FD,B083,88FD
738D88FD,738D,88FD
A55E6B80,A55E,6B80
44D3358D,44D3,358D
69E5F1E2,69E5,F1E2
668F6B80,668F,6B80
B047F1E2,B047,F1E2
CBE26B80,CBE2,6B80
AC826B80,AC82,6B80
49336986,4933,6986
38A36986,38A3,6986
5A6E5346,5A6E,5346
F5895346,F589,5346
5346556C,5346,556C
350F556C,350F,556C
F589556C,F589,556C
556C13B1,556C,13B1
556C7B20,556C,7B20
3097A5D5,3097,A5D5
FCC9599D,FCC9,599D
8CC6A5D5,8CC6,A5D5
65F9A5D5,65F9,A5D5
310F599D,310F,599D
A5D5EBCC,A5D5,EBCC
07E7725C,07E7,725C
A5D57E7C,A5D5,7E7C
977B725C,977B,725C
35D5599D,35D5,599D
A5D50BB3,A5D5,0BB3
86EF725C,86EF,725C
96F6599D,96F6,599D
A5D5A1EB,A5D5,A1EB
A5D5C286,A5D5,C286
A5D5D7FE,A5D5,D7FE
A5D589C6,A5D5,89C6
A5D54786,A5D5,4786
A5D524A2,A5D5,24A2
0B76EBCC,0B76,EBCC
EBCC6938,EBCC,6938
F6AC7E7C,F6AC,7E7C
7E7C5AF6,7E7C,5AF6
A48C0BB3,A48C,0BB3
0BB35AF6,0BB3,5AF6
9402A1EB,9402,A1EB
1854C286,1854,C286
F3F5C286,F3F5,C286
C286D85F,C286,D85F
6F72D7FE,6F72,D7FE
660FD7FE,660F,D7FE
D7FE6D5C,D7FE,6D5C
D7FEB251,D7FE,B251
A5D5D657/3AD7,A5D5,D657/3AD7
BAB989C6,BAB9,89C6
1B8889C6,1B88,89C6
2F6189C6,2F61,89C6
D7B889C6,D7B8,89C6
EB6F4786,EB6F,4786
09684786,0968,4786
763224A2,7632,24A2
2FB024A2,2FB0,24A2
16E7CF5D,16E7,CF5D
C28DF944,C28D,F944
4F2DCF5D,4F2D,CF5D
C21E0D11,C21E,0D11
8F670D11,8F67,0D11
0F420D11,0F42,0D11
EF183403,EF18,3403
10EB3403,10EB,3403
86CC3403,86CC,3403
B3A2FED6,B3A2,FED6
6A82FED6,6A82,FED6
5221FED6,5221,FED6
8522FED6,8522,FED6
492154EE,4921,54EE
C8BC54EE,C8BC,54EE
54EE2CA7,54EE,2CA7
54EE47BB,54EE,47BB
93C84632,93C8,4632
69091A8C,6909,1A8C
1A8CF91E,1A8C,F91E
69E5F91E,69E5,F91E
8301F91E,8301,F91E
80C0F91E,80C0,F91E
44D8F91E,44D8,F91E
FAB8B949,FAB8,B949
932BB949,932B,B949
B9498D6E,B949,8D6E
B949EBE5,B949,EBE5
B9494163,B949,4163
FAB88D6E,FAB8,8D6E
FD278D6E,FD27,8D6E
0B688D6E,0B68,8D6E
FAB8EBE5,FAB8,EBE5
F3DEEBE5,F3DE,EBE5
8C61EBE5,8C61,EBE5
FAB84163,FAB8,4163
B95F4163,B95F,4163
A48C4163,A48C,4163
B1354AEE,B135,4AEE
8EBE4AEE,8EBE,4AEE
AB2D4AEE,AB2D,4AEE
D64B4FA8,D64B,4FA8
EC5D46CB,EC5D,46CB
31694FA8,3169,4FA8
EC5D64F4,EC5D,64F4
3A914FA8,3A91,4FA8
4FA848D5,4FA8,48D5
EC5DC6F1,EC5D,C6F1
4FA88C4F,4FA8,8C4F
EC5DD69A,EC5D,D69A
4FA8D533,4FA8,D533
89B446CB,89B4,46CB
4FA8B2FF,4FA8,B2FF
4FA8F2A2,4FA8,F2A2
46CBC8C5,46CB,C8C5
4FA8735B,4FA8,735B
98BF64F4,98BF,64F4
4FA80F1A,4FA8,0F1A
4FA88CCB,4FA8,8CCB
64F4D011,64F4,D011
4FA8E7B6,4FA8,E7B6
D7A948D5,D7A9,48D5
48D583A5,48D5,83A5
48D58AAC,48D5,8AAC
C6F1892A,C6F1,892A
4EDB8C4F,4EDB,8C4F
C6F17111,C6F1,7111
E2EFD533,E2EF,D533
9119D533,9119,D533
78B2D69A,78B2,D69A
D69ADEC6,D69A,DEC6
D533E056,D533,E056
D69AAD42,D69A,AD42
D69ACA44,D69A,CA44
E6F1B2FF,E6F1,B2FF
D69A8151,D69A,8151
F2A2B2FF,F2A2,B2FF
D69A42A4,D69A,42A4
34E9F2A2,34E9,F2A2
D69A0739,D69A,0739
D69A8CDC,D69A,8CDC
D69AD097,D69A,D097
D69AA5AE,D69A,A5AE
BCB7735B,BCB7,735B
735B6CB4,735B,6CB4
D8C20F1A,D8C2,0F1A
083B0F1A,083B,0F1A
E4910F1A,E491,0F1A
C9C80F1A,C9C8,0F1A
424D0F1A,424D,0F1A
D8C28CCB,D8C2,8CCB
D8C68CCB,D8C6,8CCB
7D1B8CCB,7D1B,8CCB
D8C2E7B6,D8C2,E7B6
E911E7B6,E911,E7B6
5EFEE7B6,5EFE,E7B6
E7B6424D,E7B6,424D
85FAAF01,85FA,AF01
A7DBAF01,A7DB,AF01
AF01ABE3,AF01,ABE3
AF01C46B,AF01,C46B
85FAABE3,85FA,ABE3
A7DBABE3,A7DB,ABE3
5A73C46B,5A73,C46B
85FAC46B,85FA,C46B
2ED5C46B,2ED5,C46B
A7DBC46B,A7DB,C46B
54C1C46B,54C1,C46B
2B0CC46B,2B0C,C46B
B70BDBE6,B70B,DBE6
165B67E1,165B,67E1
B70BFC1A,B70B,FC1A
A28E67E1,A28E,67E1
F4AD67E1,F4AD,67E1
B70B38FC,B70B,38FC
B70B1D3F,B70B,1D3F
B70B9D3B,B70B,9D3B
B70B4C3F,B70B,4C3F
B70B2E6F,B70B,2E6F
FF36DBE6,FF36,DBE6
EAA4DBE6,EAA4,DBE6
434DFC1A,434D,FC1A
E75EFC1A,E75E,FC1A
5271FC1A,5271,FC1A
55FBFC1A,55FB,FC1A
931FFC1A,931F,FC1A
9B32D22D,9B32,D22D
0BECFC1A,0BEC,FC1A
FC1AD379,FC1A,D379
FC1A5273,FC1A,5273
38FC1D3F,38FC,1D3F
FAB81D3F,FAB8,1D3F
CE881D3F,CE88,1D3F
C4791D3F,C479,1D3F
421B1D3F,421B,1D3F
C9381D3F,C938,1D3F
DAE31D3F,DAE3,1D3F
B5C89D3B,B5C8,9D3B
9D3B040A,9D3B,040A
0AFE4C3F,0AFE,4C3F
4C3F040A,4C3F,040A
B9E42E6F,B9E4,2E6F
37E92E6F,37E9,2E6F
2ACF2E6F,2ACF,2E6F
076F2E6F,076F,2E6F
2E6F5646,2E6F,5646
2E6F15C3,2E6F,15C3
2E6F23B9,2E6F,23B9
2E6FF2C1,2E6F,F2C1
F0A1BAD4,F0A1,BAD4
F4B470C4,F4B4,70C4
37FABAD4,37FA,BAD4
8C7970C4,8C79,70C4
BAD4929B,BAD4,929B
70C4EDE4,70C4,EDE4
70C4A232,70C4,A232
70C43ADD,70C4,3ADD
B4A0EDE4,B4A0,EDE4
EF24929B,EF24,929B
3F7852EA,3F78,52EA
8A3EEDE4,8A3E,EDE4
4CEE929B,4CEE,929B
10EB52EA,10EB,52EA
EDE4A232,EDE4,A232
0395929B,0395,929B
1858929B,1858,929B
5397A232,5397,A232
52EAA09F,52EA,A09F
929BA188,929B,A188
C6D2A232,C6D2,A232
A2326F8F,A232,6F8F
57843ADD,5784,3ADD
929B8202,929B,8202
D00C3ADD,D00C,3ADD
929B2BB7,929B,2BB7
3F78A09F,3F78,A09F
929BBDCB,929B,BDCB
10EBA09F,10EB,A09F
929B2812,929B,2812
929B84FA,929B,84FA
A09F171D,A09F,171D
929B0A0B,929B,0A0B
A09F1EAB,A09F,1EAB
B83E83DB,B83E,83DB
3F3DE532,3F3D,E532
3DB383DB,3DB3,83DB
CC5CE532,CC5C,E532
E5329CA9,E532,9CA9
CBA73678,CBA7,3678
E5329E97,E532,9E97
CBA7D5DA,CBA7,D5DA
E5328F98,E532,8F98
CBA712A7,CBA7,12A7
E5322BBE,E532,2BBE
CBA712B0,CBA7,12B0
E53222EC,E532,22EC
E8833678,E883,3678
3A449CA9,3A44,9CA9
3678E5D3,3678,E5D3
32869CA9,3286,9CA9
36780D6A,3678,0D6A
90DD9CA9,90DD,9CA9
9CA99E97,9CA9,9E97
9CA97D94,9CA9,7D94
12A763DA,12A7,63DA
12B09440,12B0,9440
80908F98,8090,8F98
36688F98,3668,8F98
CEAE8F98,CEAE,8F98
816C8F98,816C,8F98
D2C78F98,D2C7,8F98
19588F98,1958,8F98
A6498F98,A649,8F98
F56A8F98,F56A,8F98
7F558F98,7F55,8F98
D48E2BBE,D48E,2BBE
66B12BBE,66B1,2BBE
FE742BBE,FE74,2BBE
D32B2BBE,D32B,2BBE
2BBE71B4,2BBE,71B4
D48E22EC,D48E,22EC
4BFE22EC,4BFE,22EC
CEC022EC,CEC0,22EC
66B122EC,66B1,22EC
22EC71B4,22EC,71B4
80F06035,80F0,6035
31EC6035,31EC,6035
3BC46035,3BC4,6035
B6696035,B669,6035
31C06035,31C0,6035
7BAA6035,7BAA,6035
6035EC82,6035,EC82
3BC4EC82,3BC4,EC82
B669EC82,B669,EC82
31C0EC82,31C0,EC82
EC8278A9,EC82,78A9
3BC4EE73,3BC4,EE73
B669EE73,B669,EE73
31C0EE73,31C0,EE73
8FE0EE73,8FE0,EE73
C1F803F6,C1F8,03F6
03F6A4DF,03F6,A4DF
3380A4DF,3380,A4DF
0470A4DF,0470,A4DF
A4DF05D1,A4DF,05D1
C38D26BB,C38D,26BB
CF7126BB,CF71,26BB
636326BB,6363,26BB
373426BB,3734,26BB
38A626BB,38A6,26BB
26BB7EC7,26BB,7EC7
1C5A7EC7,1C5A,7EC7
141B0B09,141B,0B09
02B10B09,02B1,0B09
483F7A2C,483F,7A2C
7A2CD657/BDAF,7A2C,D657/BDAF
0A02D657/BDAF,0A02,D657/BDAF
D657/BDAFEC48,D657/BDAF,EC48
D657/BDAF5A84,D657/BDAF,5A84
986F804C/10E3,986F,804C/10E3
7A2C804C/10E3,7A2C,804C/10E3
804C/10E3AA77,804C/10E3,AA77
7A2CD657/9375,7A2C,D657/9375
97E7D657/9375,97E7,D657/9375
D657/937533AA,D657/9375,33AA
D657/9375CEFC,D657/9375,CEFC
7A2CD657/E35F,7A2C,D657/E35F
D657/E35F61A3,D657/E35F,61A3
7A2CF85E/5B28-7BAA,7A2C,F85E/5B28-7BAA
0EA4F85E/5B28-7BAA,0EA4,F85E/5B28-7BAA
F85E/5B28-7BAA0EA4,F85E/5B28-7BAA,0EA4
A514349A,A514,349A
BC86349A,BC86,349A
349A164C,349A,164C
C7CF164C,C7CF,164C
E3A2164C,E3A2,164C
90FE164C,90FE,164C
498D164C,498D,164C
B1E3164C,B1E3,164C
3416164C,3416,164C
29DD164C,29DD,164C
C6F6164C,C6F6,164C
164C09A0,164C,09A0
164CC7CF,164C,C7CF
164C406A,164C,406A
FE8C6813,FE8C,6813
2CB56813,2CB5,6813
AB2D6813,AB2D,6813
1FAB6813,1FAB,6813
6813EC58,6813,EC58
681385DA,6813,85DA
4E97EC58,4E97,EC58
3CFAEC58,3CFA,EC58
C4B9EC58,C4B9,EC58
4B5BEC58,4B5B,EC58
1FABEC58,1FAB,EC58
F52499C1,F524,99C1
BBA599C1,BBA5,99C1
99C172A7,99C1,72A7
9DCF02EB,9DCF,02EB
2BA902EB,2BA9,02EB
02EBE875,02EB,E875
02EB0FE8,02EB,0FE8
02EB318A,02EB,318A
02EB43A1,02EB,43A1
02EB984A,02EB,984A
DF92D364,DF92,D364
D575D364,D575,D364
DF59D364,DF59,D364
5A73D364,5A73,D364
6E7AD364,6E7A,D364
1641318A,1641,318A
9DCF318A,9DCF,318A
7B91318A,7B91,318A
A70143A1,A701,43A1
418943A1,4189,43A1
602743A1,6027,43A1
0BE543A1,0BE5,43A1
589743A1,5897,43A1
48CC43A1,48CC,43A1
D42143A1,D421,43A1
4AB943A1,4AB9,43A1
E32D984A,E32D,984A
E2E1984A,E2E1,984A
CEA2984A,CEA2,984A
A067407F,A067,407F
A4388BCA,A438,8BCA
96908BCA,9690,8BCA
40B1407F,40B1,407F
E5148BCA,E514,8BCA
19188BCA,1918,8BCA
C2AEF537,C2AE,F537
9154F537,9154,F537
F53750F7,F537,50F7
2BC150F7,2BC1,50F7
50F79AA0,50F7,9AA0
50F7F71B,50F7,F71B
0D0D043F,0D0D,043F
A4CE043F,A4CE,043F
FAFB043F,FAFB,043F
043FDDED,043F,DDED
0D0DDDED,0D0D,DDED
E31ADDED,E31A,DDED
524CDDED,524C,DDED
194DDDED,194D,DDED
E7B7DDED,E7B7,DDED
7A1C1EB1,7A1C,1EB1
1AAE1EB1,1AAE,1EB1
37FA1EB1,37FA,1EB1
9947A10B,9947,A10B
1EB1FE94,1EB1,FE94
1EB179E8,1EB1,79E8
D768A10B,D768,A10B
A10BE511,A10B,E511
F181FE94,F181,FE94
109079E8,1090,79E8
14B296A7,14B2,96A7
DAD596A7,DAD5,96A7
206A96A7,206A,96A7
44168420,4416,8420
B7D6DC6D,B7D6,DC6D
EAA28420,EAA2,8420
D422DC6D,D422,DC6D
5161DC6D,5161,DC6D
A014DC6D,A014,DC6D
F93A0597,F93A,0597
BFC00597,BFC0,0597
0BF90597,0BF9,0597
47880597,4788,0597
BB8F0597,BB8F,0597
ED360597,ED36,0597
484A0597,484A,0597
65D10597,65D1,0597
0597F8CF,0597,F8CF
059787B6,0597,87B6
F93AF8CF,F93A,F8CF
BFC0F8CF,BFC0,F8CF
6B54F8CF,6B54,F8CF
9156F8CF,9156,F8CF
ED36F8CF,ED36,F8CF
F8CFF4F6,F8CF,F4F6
F8CFC0BC,F8CF,C0BC
F8CF87B6,F8CF,87B6
F93A87B6,F93A,87B6
BFC087B6,BFC0,87B6
91C987B6,91C9,87B6
942E87B6,942E,87B6
7F8787B6,7F87,87B6
915687B6,9156,87B6
ED3687B6,ED36,87B6
FAD7BBD4,FAD7,BBD4
2EC2BBD4,2EC2,BBD4
A3CDBBD4,A3CD,BBD4
BBD45996,BBD4,5996
EDFF5996,EDFF,5996
AC755996,AC75,5996
C62F8C4B,C62F,8C4B
CF54F64D,CF54,F64D
30A1F64D,30A1,F64D
5A73F64D,5A73,F64D
443C1E2F,443C,1E2F
B35DAD7A,B35D,AD7A
F64D63B0,F64D,63B0
8C701E2F,8C70,1E2F
7CCEAD7A,7CCE,AD7A
F64DBB4C,F64D,BB4C
F64D32FF,F64D,32FF
3FDEAD7A,3FDE,AD7A
AD7A03FC,AD7A,03FC
F64D515C,F64D,515C
824E03FC,824E,03FC
F64DB341,F64D,B341
B39B03FC,B39B,03FC
F64D7698,F64D,7698
F64DF6FF,F64D,F6FF
152B63B0,152B,63B0
FAF663B0,FAF6,63B0
5A7363B0,5A73,63B0
5883BB4C,5883,BB4C
7A76BB4C,7A76,BB4C
5A73BB4C,5A73,BB4C
AEB2BB4C,AEB2,BB4C
BB4C41C2,BB4C,41C2
BB4C44F2,BB4C,44F2
BB4C0F62,BB4C,0F62
BB4CD766,BB4C,D766
BB4C9F0C,BB4C,9F0C
BB4C4729,BB4C,4729
BB4C292A,BB4C,292A
FAF632FF,FAF6,32FF
5A7332FF,5A73,32FF
7323515C,7323,515C
69AB515C,69AB,515C
FB247698,FB24,7698
C764F6FF,C764,F6FF
9E1DF6FF,9E1D,F6FF
D8C27D1B,D8C2,7D1B
717DBB8F,717D,BB8F
224D7D1B,224D,7D1B
F93ABB8F,F93A,BB8F
90897D1B,9089,7D1B
BFC0BB8F,BFC0,BB8F
4076BB8F,4076,BB8F
2F237D1B,2F23,7D1B
9156BB8F,9156,BB8F
FDBABB8F,FDBA,BB8F
49A8BB8F,49A8,BB8F
CFA1BB8F,CFA1,BB8F
BB8F1AD1,BB8F,1AD1
04C21AD1,04C2,1AD1
F93A1AD1,F93A,1AD1
73EF1AD1,73EF,1AD1
9B299154,9B29,9154
F4B48BFE,F4B4,8BFE
E33D9154,E33D,9154
4A0E8BFE,4A0E,8BFE
4C5BA55E,4C5B,A55E
B864A55E,B864,A55E
34618BFE,3461,8BFE
8BFEF1D1,8BFE,F1D1
8BFE2189,8BFE,2189
8BFE08B9,8BFE,08B9
8BFED0FF,8BFE,D0FF
8BFE272B,8BFE,272B
8BFE0F00,8BFE,0F00
8BFEE5CA,8BFE,E5CA
8BFE81A0,8BFE,81A0
8BFE181F,8BFE,181F
A48CD8C6,A48C,D8C6
E697D8C6,E697,D8C6
D041D8C6,D041,D8C6
CFAE25F5,CFAE,25F5
446125F5,4461,25F5
22CD25F5,22CD,25F5
25F53DB6,25F5,3DB6
25F5E2D4,25F5,E2D4
C4C3E2D4,C4C3,E2D4
9FE9E2D4,9FE9,E2D4
E2D47EE1,E2D4,7EE1
E2D454C3,E2D4,54C3
4F84E5D3,4F84,E5D3
A6B5E5D3,A6B5,E5D3
E5D3EC6C,E5D3,EC6C
F81DEC6C,F81D,EC6C
0D6AEC6C,0D6A,EC6C
EC6CC484,EC6C,C484
EC6CB748,EC6C,B748
EC6C65D6,EC6C,65D6
5E18DEC6,5E18,DEC6
3759DEC6,3759,DEC6
7CCEB35D,7CCE,B35D
FAB80B68,FAB8,0B68
54580B68,5458,0B68
BBE140B1,BBE1,40B1
CCA70B68,CCA7,0B68
0B7940B1,0B79,40B1
8694B35D,8694,B35D
34280B68,3428,0B68
A03340B1,A033,40B1
40B1A87B,40B1,A87B
3FDEB35D,3FDE,B35D
40B1A2EB,40B1,A2EB
7459B35D,7459,B35D
40B1B9FB,40B1,B9FB
B35D275A,B35D,275A
40B1A16C,40B1,A16C
B35D2A8B,B35D,2A8B
B35DD454,B35D,D454
40B1732D,40B1,732D
B35DBAF5,B35D,BAF5
40B192F9,40B1,92F9
B35D20DD,B35D,20DD
40B1D29A,40B1,D29A
40B1FDF2,40B1,FDF2
40B1F515,40B1,F515
C06FA87B,C06F,A87B
A87B87FC,A87B,87FC
D005A2EB,D005,A2EB
A2EB77D1,A2EB,77D1
2E18B9FB,2E18,B9FB
6335B9FB,6335,B9FB
B9FB8677,B9FB,8677
B9FB63D7,B9FB,63D7
E219A16C,E219,A16C
C424A16C,C424,A16C
A16C9F90,A16C,9F90
AA29732D,AA29,732D
0284732D,0284,732D
CFF6732D,CFF6,732D
A6B5732D,A6B5,732D
FA3092F9,FA30,92F9
052692F9,0526,92F9
CEB9D29A,CEB9,D29A
952FD29A,952F,D29A
3AE8D29A,3AE8,D29A
0B76D29A,0B76,D29A
D29A04A2,D29A,04A2
579CFDF2,579C,FDF2
2D25FDF2,2D25,FDF2
2231FDF2,2231,FDF2
14CFFDF2,14CF,FDF2
FDF2DC99,FDF2,DC99
F87AF515,F87A,F515
A2F5F515,A2F5,F515
C0A0F515,C0A0,F515
8E8CF515,8E8C,F515
2E34F515,2E34,F515
3E39F515,3E39,F515
7C2FAD42,7C2F,AD42
A99B4EDB,A99B,4EDB
649D4EDB,649D,4EDB
45B34EDB,45B3,4EDB
4EDB08A4,4EDB,08A4
4EDBAE74,4EDB,AE74
4EDBC648,4EDB,C648
4EDBE85A,4EDB,E85A
4EDBF86A,4EDB,F86A
4EDBC8E5,4EDB,C8E5
4EDBC628,4EDB,C628
4EDB2247,4EDB,2247
4EDB481A,4EDB,481A
16CD08A4,16CD,08A4
AA8CAE74,AA8C,AE74
AE74F71E,AE74,F71E
EEF9C648,EEF9,C648
2FA7C648,2FA7,C648
1E6FC648,1E6F,C648
A33CE85A,A33C,E85A
EEF9E85A,EEF9,E85A
2FA7E85A,2FA7,E85A
9BA4F86A,9BA4,F86A
EEF9F86A,EEF9,F86A
2FA7F86A,2FA7,F86A
F86A3EFD,F86A,3EFD
7EA0C8E5,7EA0,C8E5
C27BC8E5,C27B,C8E5
C8E585DA,C8E5,85DA
C8E5CB43,C8E5,CB43
C8E5C628,C8E5,C628
C8E5FB85,C8E5,FB85
E09EC628,E09E,C628
F76EC628,F76E,C628
C628CB43,C628,CB43
3A542247,3A54,2247
D8C2481A,D8C2,481A
E675481A,E675,481A
481A025A,481A,025A
228CD575,228C,D575
1EF9D575,1EF9,D575
04E8D575,04E8,D575
D575DF59,D575,DF59
F11FDF59,F11F,DF59
6E7ADF59,6E7A,DF59
56C4DF59,56C4,DF59
DF59C13C,DF59,C13C
6402083B,6402,083B
